Key,Summary,Issue Type,Status,Created,Resolved,Story Points,Description
CUS-101,Flag missing commercial invoice,Bug,In Review,2026-04-08,,3,Given a shipment ... When ... Then ...
CUS-102,Bulk upload of shipment manifests,Story,Done,2026-08-03,2026-08-10,,Given a shipment ... When ... Then ...
CUS-103,Duty estimate on quote screen,Story,Done,2026-02-18,2026-02-27,5,Given a shipment ... When ... Then ...
CUS-104,Broker dashboard: holds by port,Story,Backlog,2026-05-29,,5,Given a shipment ... When ... Then ...
CUS-105,Auto-classify HS codes from product description,Story,In Review,2026-08-26,,1,Needs details
CUS-106,Export entry audit trail,Story,Backlog,2026-07-22,,5,
CUS-107,Notify importer on release,Story,Done,2026-06-16,2026-07-25,8,Given a shipment ... When ... Then ...
CUS-108,Retry failed EDI transmissions,Story,Backlog,2026-01-09,,3,Given a shipment ... When ... Then ...
CUS-109,Reconcile duties with invoicing,Story,Done,2026-01-31,2026-02-19,13,
CUS-110,Role-based access for clerks,Story,Backlog,2026-04-20,,,Needs details
CUS-111,Search entries by container number,Bug,Done,2026-08-14,2026-09-13,2,Given a shipment ... When ... Then ...
CUS-112,Hold reason codes standardization,Story,Done,2026-02-17,2026-04-04,1,Given a shipment ... When ... Then ...
CUS-113,Low-value shipment fast lane,Story,Done,2026-04-13,2026-05-09,5,Given a shipment ... When ... Then ...
CUS-114,Archive entries older than 7 years,Story,In Review,2026-08-04,,5,
CUS-115,Daily exceptions email,Story,Backlog,2026-04-15,,,Needs details
CUS-116,Carrier ETA sync,Story,Done,2026-03-27,2026-04-29,3,Given a shipment ... When ... Then ...
CUS-117,Document OCR for invoices,Story,Ready,2026-06-01,,2,Given a shipment ... When ... Then ...
CUS-118,Multi-currency duty calc,Story,Done,2026-01-09,2026-02-10,3,Given a shipment ... When ... Then ...
CUS-119,Importer self-service portal,Story,In Progress,2026-02-12,,3,Given a shipment ... When ... Then ...
CUS-120,Customs status webhook for partners,Story,In Review,2026-03-10,,2,Given a shipment ... When ... Then ...
CUS-121,Improve search,Story,Done,2026-05-24,2026-07-20,5,Given a shipment ... When ... Then ...
CUS-122,Fix report,Story,Backlog,2026-02-18,,5,Given a shipment ... When ... Then ...
CUS-123,Misc UI tweaks,Story,Backlog,2026-08-24,,,TBD
CUS-124,Update docs,Story,Done,2026-03-04,2026-04-02,2,Given a shipment ... When ... Then ...
CUS-125,Refactor rules engine,Story,In Review,2026-08-17,,5,Given a shipment ... When ... Then ...
CUS-126,Entry correction workflow,Story,Done,2026-07-30,2026-08-12,5,TBD
CUS-127,Duplicate shipment detection,Story,Backlog,2026-06-06,,2,Given a shipment ... When ... Then ...
CUS-128,SLA timer on holds,Spike,Backlog,2026-03-18,,2,Given a shipment ... When ... Then ...
CUS-129,Broker workload balancing,Story,Backlog,2026-01-18,,2,Given a shipment ... When ... Then ...
CUS-130,Filing cutoff calendar,Story,Backlog,2026-05-08,,8,Given a shipment ... When ... Then ...
CUS-131,Flag missing commercial invoice (phase 2),Spike,Done,2026-03-19,2026-04-26,,Needs details
CUS-132,Bulk upload of shipment manifests (phase 2),Story,Backlog,2026-08-05,,3,Given a shipment ... When ... Then ...
CUS-133,Duty estimate on quote screen (phase 2),Story,Backlog,2026-05-29,,13,Given a shipment ... When ... Then ...
CUS-134,Broker dashboard: holds by port (phase 2),Story,Ready,2026-06-13,,,
CUS-135,Auto-classify HS codes from product description (phase 2),Story,Done,2026-01-11,2026-01-16,,Needs details
CUS-136,Export entry audit trail (phase 2),Story,Backlog,2026-03-28,,,Needs details
CUS-137,Notify importer on release (phase 2),Spike,Done,2026-07-30,2026-08-15,3,Given a shipment ... When ... Then ...
CUS-138,Retry failed EDI transmissions (phase 2),Bug,Backlog,2026-09-20,,8,
CUS-139,Reconcile duties with invoicing (phase 2),Bug,In Progress,2026-07-21,,13,Needs details
CUS-140,Role-based access for clerks (phase 2),Story,Ready,2026-02-10,,3,TBD
CUS-141,Search entries by container number (phase 2),Spike,Ready,2026-02-27,,2,Given a shipment ... When ... Then ...
CUS-142,Hold reason codes standardization (phase 2),Bug,Done,2026-09-06,2026-09-23,13,Given a shipment ... When ... Then ...
CUS-143,Low-value shipment fast lane (phase 2),Story,Backlog,2026-01-21,,3,Given a shipment ... When ... Then ...
CUS-144,Archive entries older than 7 years (phase 2),Story,Ready,2026-09-13,,8,Given a shipment ... When ... Then ...
CUS-145,Daily exceptions email (phase 2),Story,Backlog,2026-07-11,,,
CUS-146,Carrier ETA sync (phase 2),Story,Done,2026-06-04,2026-06-23,13,Given a shipment ... When ... Then ...
